#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=12900 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:68 out:65 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:33461 mv:268 misc:4703 imb:0 pmb:1163 smb:6997 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:0.13 aq:0.39 tex:24085 mv:414 misc:3709 imb:0 pmb:833 smb:7327 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:0.19 aq:0.25 tex:28262 mv:758 misc:4324 imb:0 pmb:1058 smb:7102 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:0.06 aq:0.26 tex:28421 mv:641 misc:4362 imb:0 pmb:1054 smb:7106 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:32149 mv:276 misc:4639 imb:0 pmb:1147 smb:7013 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:0.00 aq:0.14 tex:33210 mv:271 misc:4543 imb:0 pmb:1130 smb:7030 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:0.00 aq:0.25 tex:28408 mv:689 misc:4343 imb:0 pmb:1060 smb:7100 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:0.00 aq:0.26 tex:28603 mv:662 misc:4359 imb:0 pmb:1060 smb:7100 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:2589157 mv:33279 misc:1444 imb:329 pmb:4679 smb:3152 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:0.00 aq:0.27 tex:26540 mv:506 misc:4210 imb:0 pmb:1089 smb:7071 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:0.00 aq:0.26 tex:28603 mv:644 misc:4377 imb:0 pmb:1059 smb:7101 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:0.00 aq:0.63 tex:1604862 mv:36701 misc:1605 imb:51 pmb:4770 smb:3339 d:- ref:0 ;
in:79 out:77 type:P dur:2 cpbdur:2 q:0.00 aq:0.32 tex:3563930 mv:43933 misc:1265 imb:1096 pmb:3997 smb:3067 d:- ref:0 ;
in:77 out:78 type:B dur:2 cpbdur:2 q:0.00 aq:0.32 tex:2019824 mv:42417 misc:1439 imb:187 pmb:4755 smb:3218 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:0.00 aq:0.61 tex:2261178 mv:50316 misc:1194 imb:252 pmb:4701 smb:3207 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:0.00 aq:0.08 tex:2544582 mv:34768 misc:1274 imb:504 pmb:4488 smb:3168 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:0.00 aq:0.11 tex:2459292 mv:33903 misc:1301 imb:465 pmb:4542 smb:3153 d:- ref:0 ;
in:83 out:82 type:P dur:2 cpbdur:2 q:0.00 aq:0.20 tex:2693271 mv:38078 misc:1051 imb:1043 pmb:4313 smb:2804 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:0.00 aq:0.45 tex:734907 mv:7353 misc:2532 imb:17 pmb:4860 smb:3283 d:- ref:0 ;
in:87 out:84 type:P dur:2 cpbdur:2 q:0.00 aq:0.14 tex:4131055 mv:46733 misc:1260 imb:1787 pmb:3461 smb:2912 d:- ref:0 ;
in:85 out:85 type:B dur:2 cpbdur:2 q:0.00 aq:0.71 tex:3431559 mv:67576 misc:1209 imb:416 pmb:4720 smb:3024 d:- ref:0 ;
